id,GOSI_classification,OutPut Classification,Quarter,Region,Value
561,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q1,Riyadh,52428
562,Real estate activities,Real Estate,2020-Q1,Riyadh,18677
563,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q1,Riyadh,75929
573,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q2,Riyadh,42287
574,Mining and quarrying,Mining & Quarrying,2020-Q2,Riyadh,10081
575,Manufacturing,Manufacturing,2020-Q2,Riyadh,289415
576,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q2,Riyadh,45258
577,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q2,Riyadh,5219
578,Construction,Construction,2020-Q2,Riyadh,713274
579,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q2,Riyadh,838013
580,Transportation and storage,"Transport, Storage & Communication",2020-Q2,Riyadh,80795
581,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q2,Riyadh,123117
582,Information and communication,"Transport, Storage & Communication",2020-Q2,Riyadh,54648
583,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q2,Riyadh,52361
584,Real estate activities,Real Estate,2020-Q2,Riyadh,18850
585,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q2,Riyadh,72385
595,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2020-Q3,Riyadh,41806
596,Mining and quarrying,Mining & Quarrying,2020-Q3,Riyadh,9800
597,Manufacturing,Manufacturing,2020-Q3,Riyadh,290021
598,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2020-Q3,Riyadh,42548
599,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2020-Q3,Riyadh,5052
600,Construction,Construction,2020-Q3,Riyadh,683458
601,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q3,Riyadh,823674
602,Transportation and storage,"Transport, Storage & Communication",2020-Q3,Riyadh,82790
603,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2020-Q3,Riyadh,126168
604,Information and communication,"Transport, Storage & Communication",2020-Q3,Riyadh,55080
605,Financial and insurance activities,"Finance , Insurance and Business sevices",2020-Q3,Riyadh,52482
606,Real estate activities,Real Estate,2020-Q3,Riyadh,19002
607,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2020-Q3,Riyadh,66591
353,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q1,KSA,521309
354,Mining and quarrying,Mining & Quarrying,2023-Q1,KSA,146455
355,Manufacturing,Manufacturing,2023-Q1,KSA,1086782
356,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q1,KSA,39011
357,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q1,KSA,122329
358,Construction,Construction,2023-Q1,KSA,2540702
359,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q1,KSA,1653550
360,Transportation and storage,"Transport, Storage & Communication",2023-Q1,KSA,459542
361,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q1,KSA,694182
